,deal_status,single_model,multi_model
0,lost,1,0
1,won,1,14
2,lost,0,2
3,lost,0,4
4,lost,0,6
5,won,0,1
6,won,0,1
7,lost,0,1
8,lost,1,0
9,won,0,3
10,lost,1,0
11,lost,1,1
12,lost,1,1
13,lost,1,0
14,lost,4,3
15,won,0,1
16,lost,1,0
17,won,0,1
18,lost,3,0
19,lost,0,2
20,lost,0,2
21,lost,1,0
22,lost,2,0
23,lost,1,1
24,won,6,5
25,won,3,4
26,lost,0,1
27,won,1,1
28,lost,1,0
29,lost,2,2
30,lost,3,0
31,lost,0,1
32,lost,0,1
33,lost,1,0
34,lost,1,0
35,lost,1,0
36,lost,1,1
37,lost,0,2
38,lost,1,0
39,lost,0,1
40,lost,1,0
41,lost,0,1
42,lost,1,3
43,won,1,1
44,lost,1,1
45,won,1,1
46,won,1,4
47,won,3,4
48,won,0,1
49,won,1,4
50,lost,6,1
51,lost,1,2
52,lost,2,0
53,won,5,1
54,lost,0,1
55,lost,0,1
56,lost,2,0
57,won,0,4
58,won,1,3
59,lost,2,2
60,lost,1,0
61,lost,0,1
62,lost,1,0
63,lost,0,2
64,lost,3,0
65,lost,2,1
66,won,0,3
67,lost,1,1
68,lost,1,0
69,lost,1,0
70,lost,0,4
71,lost,0,1
72,lost,0,1
73,lost,2,1
74,lost,1,0
75,lost,4,4
76,lost,1,0
77,lost,0,1
78,won,7,1
79,lost,1,3
80,lost,2,0
81,lost,1,0
82,won,0,2
83,lost,1,0
84,won,0,1
85,lost,1,1
86,won,1,10
87,lost,0,1
88,lost,1,1
89,lost,0,4
90,lost,0,1
91,lost,0,1
92,won,1,4
93,lost,1,0
94,won,4,3
95,lost,1,0
96,won,0,2
97,won,5,8
98,lost,0,1
99,lost,1,1
100,lost,0,5
101,lost,0,2
102,lost,0,3
103,won,1,6
104,lost,0,1
105,lost,2,0
106,lost,1,3
107,lost,1,0
108,lost,0,1
109,lost,0,1
110,lost,2,1
111,lost,3,3
112,lost,2,0
113,lost,1,0
114,won,0,1
115,lost,0,1
116,lost,0,1
117,lost,0,1
118,lost,0,1
119,won,1,2
120,lost,1,0
121,lost,0,1
122,lost,0,3
123,lost,1,0
124,lost,1,0
125,lost,1,1
126,lost,13,13
127,lost,0,2
128,lost,1,1
129,lost,0,1
130,lost,1,0
131,won,10,3
132,lost,1,1
133,lost,4,1
134,won,0,1
135,lost,1,0
136,lost,1,0
137,lost,0,1
138,lost,2,0
139,won,1,10
140,lost,0,2
141,lost,1,0
142,won,0,1
143,lost,2,1
144,lost,0,1
145,lost,0,2
146,lost,0,1
147,won,1,10
148,lost,1,2
149,won,0,1
150,lost,2,2
151,lost,2,1
152,lost,1,0
153,won,11,8
154,won,2,4
155,lost,1,0
156,lost,1,0
157,won,2,0
158,lost,0,3
159,lost,1,0
160,lost,0,1
161,lost,2,0
162,lost,1,0
163,lost,0,1
164,lost,1,0
165,lost,3,0
166,lost,0,2
167,won,24,1
168,lost,0,1
169,lost,1,1
170,won,11,13
171,lost,0,1
172,lost,0,1
173,lost,1,1
174,won,28,4
175,won,0,2
176,lost,0,4
177,lost,1,0
178,lost,1,1
179,won,0,1
180,lost,0,3
181,lost,0,1
182,won,4,5
183,lost,1,2
184,lost,1,0
185,lost,0,1
186,lost,0,1
187,lost,0,1
188,lost,1,0
189,lost,2,0
190,lost,1,0
191,lost,0,1
192,lost,0,4
193,lost,0,1
194,won,0,1
195,lost,1,0
196,won,1,0
197,lost,1,0
198,lost,1,0
199,lost,1,0
200,won,1,2
201,lost,0,1
202,lost,0,1
203,won,0,1
204,lost,0,1
205,lost,0,1
206,lost,1,0
207,lost,2,0
208,lost,2,2
209,lost,0,1
210,lost,1,0
211,won,0,1
212,won,2,7
213,lost,0,1
214,won,0,1
215,lost,0,1
216,lost,2,1
